S3000000000	i would like restaurants	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000001	i want restaurant .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000002	list restaurant	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000003	enumerate restaurants .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000004	where is the restaurant	now => [ param:geo:Location ] of ( @edu.stanford.cs294s.sierra.Restaurant ) => notify
S3000000005	i would like restaurants .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000006	i am looking for restaurant	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000007	get restaurants .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000008	i want reviews .	now => @edu.stanford.cs294s.sierra.Review => notify
S3000000009	where is the restaurant	now => [ param:geo:Location ] of ( @edu.stanford.cs294s.sierra.Restaurant ) => notify
S3000000010	i want to search for restaurant	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000011	i would like restaurants	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000012	get restaurants	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000013	find restaurant .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000014	where are restaurant .	now => [ param:geo:Location ] of ( @edu.stanford.cs294s.sierra.Restaurant ) => notify
S3000000015	where are restaurants .	now => [ param:geo:Location ] of ( @edu.stanford.cs294s.sierra.Restaurant ) => notify
S3000000016	get restaurants	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000017	i would like restaurants	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000018	i am looking to find restaurants .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000019	get restaurant .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000020	please retrieve restaurants .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000021	i would like restaurant .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000022	what are restaurant	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000023	i would like restaurant	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000024	where are the restaurants .	now => [ param:geo:Location ] of ( @edu.stanford.cs294s.sierra.Restaurant ) => notify
S3000000025	i would like restaurant .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000026	i would like restaurant	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000027	i would like to find restaurants .	now => @edu.stanford.cs294s.sierra.Restaurant => notify
S3000000028	list restaurant	now => @edu.stanford.cs294s.sierra.Restaurant => notify
